index,job,marital,education,default,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,balance_bins,age_bins,y
125,4,1,2,0,1,0,0,17,10,1,176,3,0,6,1,0
126,5,1,0,0,0,0,2,2,5,0,0,0,3,0,2,0
127,9,1,1,0,1,1,0,27,0,0,0,0,3,6,2,0
128,4,2,2,0,1,0,0,29,0,1,0,0,3,6,1,0
129,4,1,2,0,0,0,0,24,7,7,0,0,3,2,1,0
130,5,1,0,0,0,0,2,18,4,1,0,0,3,0,2,0
131,5,1,0,0,0,0,0,6,8,1,0,0,3,3,4,0
132,4,1,1,0,1,0,2,19,4,3,0,0,3,6,1,0
133,9,1,1,0,1,0,0,17,4,1,0,0,3,1,0,0
134,1,1,0,0,1,1,0,11,4,2,169,5,0,0,2,0
135,10,2,2,0,0,0,1,3,1,0,0,0,3,6,2,0
136,1,1,1,0,1,0,0,13,4,1,363,3,0,1,0,0
137,4,1,2,0,0,0,0,9,1,8,0,0,3,2,0,0
138,9,2,1,0,1,1,0,10,6,0,0,0,3,0,1,0
139,5,1,2,0,0,0,2,4,5,0,0,0,3,7,3,0
140,4,1,2,0,0,0,2,19,4,9,0,0,3,0,3,0
141,3,1,2,0,1,0,0,19,3,0,319,2,0,1,1,0
142,9,1,1,0,1,1,0,11,4,1,170,1,0,2,1,0
143,1,2,2,0,1,0,2,5,4,0,0,0,3,5,1,0
144,9,2,1,0,1,0,2,11,4,0,0,0,3,0,1,0
145,1,1,1,0,1,0,0,11,4,0,0,0,3,6,1,1
146,7,2,1,0,1,0,2,11,4,0,0,0,3,7,2,0
147,7,1,3,0,0,0,1,18,10,1,0,0,3,7,2,0
148,9,1,1,0,1,0,0,19,10,1,0,0,3,1,1,0
149,3,1,0,0,0,1,1,14,6,3,0,0,3,0,1,0
150,0,0,1,0,1,0,0,13,4,0,0,0,3,5,2,0
151,4,1,2,0,1,0,2,6,4,0,0,0,3,3,1,0
152,4,1,3,0,1,0,0,27,0,0,0,0,3,4,2,0
153,4,1,2,0,1,0,0,25,4,0,110,1,0,2,1,0
154,1,1,0,0,0,0,2,4,5,1,0,0,3,6,2,0
155,7,2,1,0,0,0,0,17,6,1,0,0,3,1,1,0
156,9,1,2,0,0,0,0,20,6,0,0,0,3,0,0,0
157,1,2,0,0,1,0,2,11,4,1,0,0,3,5,1,0
158,5,1,0,0,0,0,1,27,6,5,0,0,3,7,4,0
159,1,0,0,0,1,0,0,17,4,6,345,5,0,2,2,0
160,0,1,1,0,1,0,1,4,4,1,0,0,3,1,1,0
161,1,1,0,0,0,0,1,15,2,0,0,0,3,6,3,0
162,1,2,0,0,1,0,0,30,6,1,0,0,3,0,1,0
163,1,1,3,0,0,0,0,19,3,0,347,1,0,6,2,0
164,9,1,1,0,0,0,0,18,10,0,0,0,3,4,1,0
165,4,1,2,0,1,0,2,22,4,0,0,0,3,7,1,0
166,4,2,2,0,0,0,0,27,7,6,0,0,3,5,1,0
167,4,1,2,0,1,1,1,20,10,0,0,0,3,7,2,1
168,7,1,0,0,1,1,0,10,6,1,0,0,3,5,2,0
169,4,1,2,0,1,1,2,15,4,4,0,0,3,5,1,0
170,1,1,0,0,0,0,0,10,7,8,0,0,3,7,2,0
171,1,1,0,0,1,0,2,27,4,2,0,0,3,5,0,0
172,1,1,1,0,1,0,2,13,4,1,0,0,3,3,1,0
173,4,1,2,0,0,0,0,12,7,1,0,0,3,0,1,0
174,4,1,2,0,1,0,0,29,3,0,0,0,3,0,1,1
175,1,1,0,0,1,0,0,16,6,0,0,0,3,0,2,0
176,5,0,1,0,0,0,0,4,6,0,0,0,3,4,3,0
177,1,2,0,0,0,0,1,4,1,6,0,0,3,3,0,0
178,4,1,2,0,0,0,0,29,6,2,0,0,3,5,2,0
179,4,2,2,0,1,0,0,24,6,0,0,0,3,6,0,0
180,1,2,1,0,1,0,0,17,6,0,0,0,3,6,1,0
181,4,1,1,0,0,0,0,24,7,2,0,0,3,3,2,0
182,0,1,1,0,1,1,0,8,6,0,0,0,3,0,1,0
183,0,1,1,0,1,0,2,22,4,0,0,0,3,2,1,0
184,0,1,1,0,1,0,2,13,4,0,0,0,3,2,2,0
185,4,2,2,0,1,0,2,14,4,0,0,0,3,0,1,0
186,10,1,1,0,0,0,2,19,5,2,0,0,3,5,1,0
187,1,1,0,0,1,0,2,1,5,2,0,0,3,6,1,0
188,9,2,2,0,0,0,2,8,5,0,0,0,3,6,1,0
189,1,2,1,0,1,0,0,12,3,1,331,1,0,7,2,0
190,1,1,1,0,0,0,0,24,7,3,0,0,3,5,2,0
191,7,0,1,0,1,0,2,26,4,1,0,0,3,0,1,0
192,3,0,0,0,0,0,2,8,5,3,0,0,3,3,1,0
193,4,2,2,0,0,0,0,6,7,0,0,0,3,2,0,0
194,5,0,2,0,1,0,0,17,10,0,0,0,3,3,2,0
195,9,1,2,0,1,1,0,17,10,2,176,4,0,7,1,0
196,6,1,0,0,0,1,0,19,10,0,0,0,3,6,2,0
197,10,1,1,0,0,0,0,9,7,0,178,14,2,2,2,1
198,8,2,1,0,1,0,0,17,4,0,0,0,3,5,0,0
199,10,1,1,0,1,1,2,22,4,4,0,0,3,1,1,0
200,1,1,0,0,1,0,0,5,3,1,324,2,0,4,1,0
201,7,1,1,0,0,0,2,5,5,1,0,0,3,2,1,0
202,4,1,2,0,1,0,0,16,10,0,148,2,0,1,1,0
203,1,1,3,0,1,0,2,14,4,3,0,0,3,2,2,0
204,1,1,1,0,1,0,2,13,4,1,0,0,3,3,1,0
205,4,2,2,0,0,0,0,26,4,0,0,0,3,0,2,0
206,1,2,0,0,1,0,2,20,4,1,0,0,3,1,1,0
207,4,2,1,0,0,0,0,28,7,1,0,0,3,0,2,0
208,9,2,1,0,1,0,0,20,6,0,0,0,3,6,0,0
209,7,1,1,0,1,0,2,2,5,3,0,0,3,4,2,0
210,0,2,2,0,0,0,0,5,4,0,87,6,2,5,1,1
211,1,1,1,0,1,0,2,29,4,2,0,0,3,4,1,0
212,4,2,1,0,1,1,2,1,5,1,0,0,3,3,0,0
213,1,1,0,0,1,0,2,14,4,0,0,0,3,6,2,0
214,1,1,0,0,0,0,0,26,7,5,0,0,3,4,3,0
215,1,1,1,0,1,0,0,7,3,0,0,0,3,3,1,0
216,2,1,0,0,1,1,0,5,4,1,0,0,3,4,0,0
217,4,1,2,0,1,0,1,22,9,0,140,3,0,0,1,1
218,9,2,1,0,0,1,0,15,6,0,0,0,3,1,1,0
219,3,1,0,0,0,0,0,16,11,2,0,0,3,5,3,1
220,4,0,1,0,0,0,0,6,7,1,0,0,3,3,1,0
221,6,2,2,0,0,1,0,16,10,2,0,0,3,5,1,0
222,1,2,0,0,1,0,2,8,5,9,0,0,3,0,1,0
223,4,1,2,0,1,0,2,22,4,0,0,0,3,0,2,0
224,7,0,1,0,1,0,2,12,4,0,0,0,3,6,2,0
225,1,1,1,0,1,0,0,12,4,0,0,0,3,4,1,1
226,9,1,1,0,1,0,2,1,5,2,0,0,3,3,0,0
227,9,1,2,0,1,0,2,15,4,0,0,0,3,2,1,0
228,9,2,1,0,0,0,0,24,7,3,0,0,3,2,0,0
229,9,1,1,0,1,1,0,3,7,2,0,0,3,1,1,0
230,0,1,1,0,0,0,1,20,10,2,0,0,3,7,2,0
231,9,2,1,0,0,1,0,30,6,12,0,0,3,7,0,0
232,1,2,1,0,0,1,0,24,6,3,0,0,3,7,1,1
233,4,1,2,0,1,0,0,13,7,1,81,7,0,3,1,0
234,4,1,2,0,0,0,0,5,1,0,0,0,3,7,4,0
235,3,1,0,0,0,0,0,6,7,1,0,0,3,6,3,0
236,6,1,2,0,0,0,1,10,7,2,67,3,0,6,1,0
237,9,1,1,0,1,1,0,6,4,1,0,0,3,4,1,0
238,9,1,1,0,1,0,0,27,6,2,0,0,3,2,2,0
239,10,1,1,0,0,0,0,3,7,1,0,0,3,2,2,0
240,5,1,2,0,0,0,0,10,7,3,0,0,3,7,3,0
241,0,0,1,0,1,1,2,27,4,3,0,0,3,4,2,0
242,2,1,3,0,0,1,0,17,10,0,0,0,3,6,2,0
243,1,1,0,0,1,1,0,17,10,1,0,0,3,4,1,0
244,1,2,0,0,1,1,2,26,4,1,0,0,3,1,0,0
245,7,0,1,0,1,0,2,5,5,2,0,0,3,3,1,1
246,1,2,1,0,1,0,2,28,4,2,0,0,3,0,0,0
247,4,2,2,0,0,0,0,3,1,1,0,0,3,2,1,0
248,9,1,3,0,0,0,0,4,1,0,0,0,3,0,3,0
249,9,2,1,0,0,0,0,11,4,0,443,2,0,5,1,0
250,4,2,2,0,0,0,2,22,4,0,0,0,3,7,1,0
251,0,2,2,0,0,0,0,30,6,1,0,0,3,4,1,0
252,4,1,2,0,1,0,0,4,7,0,0,0,3,4,2,0
253,5,0,0,0,0,0,0,12,8,1,0,0,3,7,5,0
254,7,1,1,0,0,0,0,23,5,0,88,2,2,4,1,1
255,1,1,1,0,0,0,0,30,6,6,0,0,3,7,2,0
256,9,0,1,0,1,0,2,7,4,2,0,0,3,2,1,0
257,1,1,0,0,1,1,0,9,4,2,0,0,3,2,3,0
258,10,1,1,0,0,0,0,23,2,0,0,0,3,5,1,1
259,6,2,2,0,0,0,0,10,7,1,178,2,2,3,1,1
260,8,2,1,0,1,0,0,6,4,3,0,0,3,5,0,0
261,1,1,0,0,0,0,0,30,6,3,0,0,3,5,2,0
262,1,1,0,0,1,1,1,17,10,0,0,0,3,5,1,0
263,1,1,1,0,1,0,2,1,5,0,0,0,3,1,1,0
264,1,1,0,0,1,0,0,12,4,1,0,0,3,5,1,0
265,9,1,1,0,1,1,0,21,7,3,0,0,3,7,1,0
266,1,1,0,0,0,0,0,6,7,5,0,0,3,0,2,0
267,9,2,1,0,0,0,0,6,6,1,0,0,3,1,1,0
268,1,1,1,0,0,1,0,7,6,2,0,0,3,5,2,0
269,1,1,0,0,1,0,2,2,5,2,0,0,3,0,1,0
270,1,1,1,0,1,1,1,2,1,1,250,2,1,0,2,0
271,9,1,1,0,0,0,0,20,7,2,0,0,3,1,1,0
272,3,1,0,0,0,0,2,8,5,1,0,0,3,1,2,0
273,0,2,1,0,0,0,0,3,8,0,97,4,1,6,0,1
274,4,2,2,0,0,0,0,18,7,0,0,0,3,6,0,1
275,11,1,0,0,0,0,0,10,7,1,0,0,3,1,3,0
276,9,1,1,0,1,0,0,14,6,0,0,0,3,0,3,0
277,0,0,3,0,1,0,0,7,4,0,357,2,0,5,2,0
278,4,2,1,0,1,0,0,29,6,6,0,0,3,3,1,0
279,8,2,1,0,0,0,1,3,4,2,0,0,3,6,0,0
280,7,1,1,0,0,0,0,29,0,1,0,0,3,2,1,0
281,1,2,1,0,0,0,2,15,5,0,0,0,3,7,1,0
282,6,1,0,0,0,0,0,10,7,3,0,0,3,6,2,0
283,9,2,1,0,1,1,2,8,4,0,0,0,3,0,1,0
284,9,2,2,0,0,1,0,21,6,1,0,0,3,5,0,0
285,1,1,0,0,0,0,0,21,7,5,0,0,3,1,3,0
286,7,1,1,0,1,1,2,26,4,2,0,0,3,0,1,0
287,4,1,2,0,1,0,2,25,4,3,0,0,3,6,1,1
288,9,2,1,0,1,0,0,13,4,2,0,0,3,4,0,0
289,3,1,1,0,0,0,2,8,5,2,0,0,3,4,2,0
290,9,2,1,0,1,0,0,25,7,13,0,0,3,4,1,0
291,11,2,3,1,0,0,2,19,5,0,0,0,3,1,1,0
292,1,1,1,0,1,0,0,8,6,0,0,0,3,4,2,0
293,1,1,0,0,1,0,2,7,4,0,0,0,3,2,1,0
294,1,1,0,0,0,1,0,20,6,1,0,0,3,1,1,0
295,4,1,2,0,0,0,0,15,10,0,284,1,0,1,1,0
296,0,0,2,0,1,0,0,18,10,0,0,0,3,0,1,0
297,4,1,2,1,1,0,0,30,6,16,0,0,3,1,0,0
298,2,1,1,0,1,0,2,25,4,1,0,0,3,3,1,0
299,10,1,0,0,0,0,0,29,3,1,0,0,3,2,2,0
300,7,2,2,0,0,0,2,19,4,0,0,0,3,3,1,0
301,4,1,2,0,0,0,0,5,7,1,0,0,3,7,1,0
302,6,0,1,0,1,1,2,13,4,1,0,0,3,2,2,0
303,7,1,1,0,0,0,0,18,10,1,0,0,3,6,2,0
304,1,2,0,0,0,0,2,19,5,17,0,0,3,7,2,0
305,9,2,1,0,0,0,0,23,6,0,0,0,3,1,3,0
306,7,1,1,0,0,1,0,8,1,5,0,0,3,4,1,0
307,4,0,2,0,1,0,0,7,4,2,356,8,1,1,3,0
308,6,2,2,0,1,1,0,1,1,6,0,0,3,4,0,0
309,1,1,0,0,0,0,0,5,7,1,0,0,3,6,2,0
310,4,2,2,0,1,0,2,6,4,0,0,0,3,3,1,0
311,1,0,0,0,0,0,0,2,1,1,0,0,3,2,1,0
312,8,2,1,0,0,0,0,4,5,1,0,0,3,7,0,0
313,9,1,1,0,0,0,1,19,3,1,0,0,3,0,2,0
314,7,1,1,0,0,0,0,5,7,1,0,0,3,2,2,0
315,5,1,1,0,0,0,0,10,6,1,0,0,3,5,2,0
316,4,2,2,0,0,0,0,12,7,1,0,0,3,3,1,0
317,1,1,1,0,1,0,2,4,5,1,0,0,3,5,1,0
318,1,1,0,0,1,0,0,6,6,2,0,0,3,4,1,0
319,7,2,1,0,0,0,0,28,8,0,0,0,3,6,0,1
320,4,2,2,0,1,1,2,4,5,30,0,0,3,2,1,0
321,10,1,1,0,0,0,0,19,10,3,0,0,3,4,1,0
322,7,1,1,0,1,0,1,12,4,1,338,4,0,5,1,0
323,9,1,1,0,1,0,0,3,1,0,244,1,1,0,2,0
324,11,1,3,0,0,0,2,5,5,2,0,0,3,0,1,0
325,9,1,1,0,0,0,0,28,7,1,0,0,3,3,1,0
326,1,1,0,0,1,0,2,19,5,27,0,0,3,2,0,0
327,9,2,1,0,0,0,0,29,9,0,0,0,3,1,0,1
328,4,1,2,0,0,1,2,19,5,1,0,0,3,6,1,0
329,4,0,2,0,1,0,2,18,4,5,0,0,3,5,1,0
330,9,2,2,0,0,0,0,15,8,0,0,0,3,5,0,0
331,1,2,0,0,1,0,0,17,4,0,0,0,3,0,1,0
332,4,0,2,0,1,0,0,11,7,1,0,0,3,2,1,0
333,7,1,1,0,0,0,2,12,7,0,0,0,3,0,1,0
334,1,1,1,0,0,0,2,4,5,1,0,0,3,1,3,0
335,4,0,2,0,0,0,0,27,0,0,0,0,3,7,2,0
336,8,2,1,0,0,0,0,11,9,0,0,0,3,3,0,1
337,9,1,1,0,1,1,0,13,6,1,0,0,3,2,1,0
338,7,1,1,0,1,1,2,19,4,0,0,0,3,1,0,0
339,9,1,1,0,0,1,2,7,4,2,0,0,3,0,1,0
340,4,1,2,0,1,0,0,4,1,0,0,0,3,2,1,0
341,7,1,1,0,1,1,0,28,6,2,0,0,3,6,1,0
342,8,2,1,0,1,0,0,2,7,0,433,2,2,5,0,1
343,1,1,0,0,1,0,2,13,4,1,0,0,3,0,2,0
344,1,1,1,0,1,0,2,27,4,1,0,0,3,3,0,0
345,6,1,1,0,0,0,0,19,10,0,0,0,3,1,2,1
346,1,1,0,0,1,1,2,2,5,2,0,0,3,4,1,0
347,0,2,1,0,1,0,0,8,1,6,277,1,1,1,1,0
348,7,1,1,0,0,0,2,18,5,0,0,0,3,0,2,0
349,4,2,2,0,1,0,0,12,4,1,368,3,0,2,1,1
350,2,1,1,0,0,0,0,17,10,1,0,0,3,6,2,0
351,9,0,1,0,0,0,0,12,9,0,45,2,0,3,1,1
352,1,2,1,0,1,1,0,19,10,0,152,14,0,4,1,0
353,6,2,2,0,0,0,0,2,8,0,91,1,2,7,1,1
354,9,2,2,0,1,0,0,23,6,0,0,0,3,1,1,0
355,5,1,0,0,0,0,0,12,7,1,98,2,2,7,2,1
356,1,1,0,0,1,0,2,18,5,2,0,0,3,0,1,0
357,1,1,1,0,1,0,0,19,3,11,345,1,0,4,1,0
358,0,1,1,0,1,0,0,19,7,3,0,0,3,3,2,0
359,0,1,1,0,1,0,2,25,4,1,0,0,3,5,0,0
360,9,2,2,0,1,0,0,13,3,0,0,0,3,3,1,0
361,1,1,0,0,1,0,2,29,4,2,0,0,3,3,1,0
362,0,1,1,0,0,0,0,2,1,1,177,2,0,5,2,0
363,4,2,2,0,0,0,0,25,7,6,0,0,3,5,1,0
364,0,1,2,0,1,0,0,16,3,1,0,0,3,2,1,0
365,5,1,2,0,0,0,2,12,4,1,0,0,3,7,3,0
366,1,2,1,0,1,0,1,12,4,0,0,0,3,5,1,0
367,9,1,2,0,1,1,0,24,4,1,19,3,0,5,1,1
368,1,1,1,0,1,0,0,7,6,2,0,0,3,2,1,0
369,0,1,1,0,0,0,2,2,6,0,0,0,3,1,2,0
370,1,1,1,0,1,0,2,29,4,1,0,0,3,4,1,0
371,7,2,1,0,1,0,2,8,4,8,0,0,3,2,1,0
372,8,2,1,0,0,0,0,7,8,0,0,0,3,2,0,0
373,5,0,1,0,0,0,0,27,0,0,0,0,3,5,3,0
374,9,0,1,0,1,1,0,19,3,2,266,2,1,0,1,0
375,1,1,1,0,1,0,0,3,4,2,0,0,3,7,2,0
376,2,1,2,0,1,1,0,27,7,2,0,0,3,7,2,0
377,3,1,0,0,0,0,1,7,6,2,0,0,3,0,1,0
378,1,1,1,0,0,0,2,19,4,0,0,0,3,0,1,0
379,0,0,1,0,1,1,0,10,4,2,350,2,0,5,2,0
380,3,2,0,0,0,0,2,19,5,4,0,0,3,2,1,0
381,7,2,1,0,1,0,2,5,4,0,0,0,3,3,1,0
382,9,0,1,0,1,1,0,18,10,0,0,0,3,4,1,0
383,4,0,2,0,1,1,0,15,3,0,0,0,3,3,1,0
384,7,1,1,0,1,0,0,6,3,0,313,1,0,6,1,0
385,7,2,0,0,0,0,2,2,5,8,0,0,3,3,0,0
386,1,1,1,0,1,0,0,24,6,7,0,0,3,1,0,0
387,4,1,1,0,0,1,0,7,6,1,0,0,3,1,3,0
388,9,1,1,0,0,0,2,15,5,2,0,0,3,2,3,0
389,1,0,0,0,0,0,2,8,5,0,0,0,3,7,2,0
390,4,1,2,0,1,0,0,1,1,2,0,0,3,7,2,0
391,9,1,2,0,1,0,0,24,6,0,0,0,3,2,0,0
392,0,1,2,0,0,0,0,29,6,0,180,2,2,0,1,1
393,11,1,0,0,1,0,0,8,6,0,0,0,3,0,1,0
394,7,2,1,0,0,0,0,0,8,0,504,1,0,0,1,1
395,2,1,1,0,1,0,0,10,4,1,0,0,3,4,2,0
396,1,0,1,0,1,0,2,29,4,11,0,0,3,2,2,0
397,0,2,2,0,1,0,0,21,3,1,340,2,1,4,1,1
398,7,1,1,0,0,0,0,23,6,5,0,0,3,2,0,0
399,6,1,2,0,0,0,0,25,6,1,256,3,2,7,3,1
400,1,2,1,0,0,0,0,6,11,2,0,0,3,5,0,0
401,10,0,0,0,0,0,0,27,0,0,0,0,3,5,2,0
402,1,2,1,0,1,0,0,10,4,1,0,0,3,2,1,1
403,4,1,2,0,0,0,1,17,10,0,0,0,3,1,3,0
404,7,1,1,0,1,0,2,7,4,1,0,0,3,2,0,0
405,0,1,1,0,0,0,0,25,7,3,0,0,3,3,2,0
406,5,1,1,0,0,0,0,19,4,0,84,1,0,5,3,1
407,4,1,0,0,0,0,0,15,3,2,0,0,3,3,2,1
