index,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
29,12,0,2,1,0,1303,1,0,2,7,4,0,0,0,3,0
30,29,5,1,0,0,2290,0,1,1,7,4,1,356,3,0,1
31,18,6,1,1,0,930,1,1,0,10,4,0,0,0,3,0
32,28,1,1,0,0,2345,1,0,2,13,4,0,0,0,3,0
33,17,6,1,2,0,1476,1,0,0,16,10,0,0,0,3,0
34,9,4,1,2,0,5090,0,1,0,16,6,2,0,0,3,0
35,18,6,1,1,0,1012,0,0,0,26,7,14,0,0,3,0
36,40,1,1,1,0,2731,1,0,2,18,5,2,0,0,3,0
37,37,7,0,1,0,3059,1,0,2,27,4,16,0,0,3,0
38,16,3,1,0,0,3744,0,0,0,13,7,1,0,0,3,1
39,18,9,1,1,0,916,1,0,0,5,3,2,332,2,1,0
40,16,4,2,2,0,4327,1,0,0,11,7,0,0,0,3,0
41,33,1,1,0,0,1378,1,0,0,28,7,1,0,0,3,0
42,21,4,2,2,0,1884,1,0,0,6,4,0,255,6,0,0
43,28,1,1,1,0,1440,1,0,1,4,4,6,0,0,3,0
44,12,9,2,1,0,3406,0,0,0,7,3,1,0,0,3,1
45,15,4,2,2,0,855,0,0,2,27,4,1,0,0,3,0
46,38,7,1,0,0,1882,0,1,0,9,6,0,0,0,3,0
47,13,9,1,1,0,1057,1,0,2,20,4,1,0,0,3,0
48,11,9,2,2,0,1111,1,1,0,5,1,15,0,0,3,0
49,18,4,2,2,0,978,1,0,0,2,10,0,179,7,0,1
50,39,1,0,0,0,5160,1,0,0,15,3,0,333,1,0,0
51,18,1,2,1,0,4287,0,0,2,11,10,0,375,1,2,1
52,12,0,2,1,0,916,0,0,0,3,8,2,0,0,3,1
53,8,4,2,2,0,2505,0,0,0,5,9,1,463,5,1,0
54,14,1,2,1,0,719,0,1,0,7,6,0,0,0,3,0
55,24,9,1,2,0,1673,0,0,0,9,1,0,0,0,3,1
56,15,7,1,2,0,1462,1,1,0,2,1,1,267,1,0,0
57,14,1,1,1,0,1170,1,0,0,18,10,2,0,0,3,1
58,22,10,1,0,0,838,0,0,0,2,1,3,0,0,3,0
59,17,4,1,2,0,1952,0,0,0,12,7,0,0,0,3,0
60,15,7,1,1,0,938,1,0,2,4,4,0,0,0,3,0
61,15,7,1,1,0,1090,1,0,0,14,4,0,295,1,1,0
62,26,9,1,2,0,1767,1,0,0,10,6,1,0,0,3,0
63,9,7,1,1,0,931,1,0,2,15,4,0,0,0,3,0
64,33,9,0,1,0,1979,0,1,0,3,7,0,0,0,3,0
65,21,9,1,2,0,1010,0,0,0,6,7,1,0,0,3,0
66,20,7,1,1,0,1622,0,0,0,17,10,1,0,0,3,0
67,20,4,2,2,0,3011,0,0,0,13,7,1,0,0,3,0
68,7,7,2,1,0,4456,1,0,2,19,5,27,0,0,3,0
69,46,5,1,2,0,3032,0,0,0,13,9,1,0,0,3,0
70,25,6,1,1,0,916,0,0,0,24,8,1,0,0,3,0
71,10,1,1,1,0,731,1,1,2,12,4,0,0,0,3,0
72,25,7,0,1,0,771,1,0,0,27,6,2,0,0,3,0
73,28,1,2,1,0,1437,1,0,0,12,4,0,0,0,3,0
74,40,5,1,1,0,2088,0,0,0,30,6,0,0,0,3,0
75,23,1,1,1,0,816,1,0,2,15,5,20,0,0,3,0
76,39,4,1,0,0,5869,0,0,0,20,3,1,0,0,3,0
77,26,2,1,2,0,1540,0,0,1,13,7,1,0,0,3,1
78,12,9,1,2,0,2019,1,1,0,28,6,14,0,0,3,0
79,23,6,1,1,0,936,0,0,2,4,5,0,0,0,3,0
80,16,9,1,1,1,1007,0,0,0,28,7,3,0,0,3,0
81,35,1,0,0,0,3505,1,0,2,29,4,1,0,0,3,1
82,17,1,1,1,0,299,1,1,2,27,4,1,0,0,3,0
83,10,7,1,1,0,920,1,0,2,1,8,0,0,0,3,0
84,8,2,1,2,0,954,1,0,0,11,4,0,291,5,0,0
85,26,0,1,1,0,6541,0,0,1,3,4,0,0,0,3,0
86,13,4,2,2,0,1503,1,0,0,19,3,3,0,0,3,0
87,7,4,2,2,0,1205,0,0,0,4,5,0,0,0,3,0
88,14,0,1,2,0,1306,1,1,0,4,4,0,240,1,1,0
89,19,9,0,2,0,2670,1,0,0,15,3,0,314,1,0,0
90,27,9,0,1,0,1004,1,0,0,21,7,2,0,0,3,0
91,26,0,1,1,0,2278,1,0,2,12,4,0,0,0,3,0
92,31,7,1,1,0,1304,0,0,1,30,6,3,0,0,3,1
93,35,9,1,1,0,2648,0,1,0,20,10,1,0,0,3,0
94,43,4,1,2,0,3745,0,0,0,5,9,0,0,0,3,0
95,26,1,1,0,0,922,0,0,0,9,6,8,0,0,3,0
96,34,1,1,1,0,3161,0,0,2,19,5,2,0,0,3,0
97,24,4,0,2,0,916,0,0,2,5,5,0,0,0,3,0
98,12,4,1,2,0,6599,0,0,0,3,4,1,0,0,3,1
99,39,2,1,1,1,405,0,1,0,24,6,0,0,0,3,0
100,21,1,1,0,0,3027,1,1,2,15,4,0,0,0,3,0
101,31,9,1,3,0,2271,1,0,2,17,5,2,0,0,3,0
102,39,9,1,1,0,3410,0,0,0,28,0,1,0,0,3,0
103,21,1,1,1,0,2223,1,0,1,30,9,0,0,0,3,1
104,29,0,1,1,0,1436,0,0,1,8,1,5,0,0,3,0
105,24,7,0,1,0,1024,0,0,0,24,6,12,0,0,3,0
106,26,1,1,1,0,1753,1,0,0,5,1,0,0,0,3,0
107,18,2,2,1,0,1391,0,0,0,24,6,2,0,0,3,0
108,36,4,1,2,0,4413,1,1,0,20,6,0,0,0,3,0
109,11,4,2,2,0,1942,0,0,0,11,1,1,89,2,2,1
110,17,0,1,1,0,2170,1,1,0,0,6,1,0,0,3,0
111,34,9,1,1,0,1386,0,0,0,26,7,7,0,0,3,0
112,10,10,2,1,0,1454,0,0,0,3,5,2,0,0,3,0
113,13,1,1,0,0,1167,1,0,2,6,4,1,0,0,3,0
114,11,0,2,1,0,943,1,0,0,5,4,0,0,0,3,1
115,37,6,1,1,0,3282,0,0,1,8,3,1,137,1,0,0
116,15,9,2,2,0,1306,1,0,0,2,1,0,253,1,0,0
117,16,7,1,1,0,848,1,0,2,8,4,0,0,0,3,0
118,32,0,0,1,0,468,1,0,0,10,4,1,0,0,3,0
119,33,1,1,0,0,1497,1,0,0,10,4,0,0,0,3,0
120,35,5,1,1,0,2194,1,0,1,14,6,2,0,0,3,0
121,19,9,1,1,1,913,0,0,0,28,7,3,0,0,3,0
122,14,0,2,1,0,980,1,0,0,20,6,2,0,0,3,0
123,34,6,1,2,0,4558,0,0,0,30,7,2,89,5,1,1
124,22,0,1,2,0,916,1,0,2,19,4,1,0,0,3,0
125,15,4,1,2,0,2436,1,0,0,17,10,1,176,3,0,0
126,27,5,1,0,0,916,0,0,2,2,5,0,0,0,3,0
127,30,9,1,1,0,2365,1,1,0,27,0,0,0,0,3,0
128,20,4,2,2,0,2410,1,0,0,29,0,1,0,0,3,0
129,15,4,1,2,0,1046,0,0,0,24,7,7,0,0,3,0
130,28,5,1,0,0,916,0,0,2,18,4,1,0,0,3,0
131,60,5,1,0,0,1217,0,0,0,6,8,1,0,0,3,0
132,24,4,1,1,0,3290,1,0,2,19,4,3,0,0,3,0
133,12,9,1,1,0,949,1,0,0,17,4,1,0,0,3,0
134,27,1,1,0,0,916,1,1,0,11,4,2,169,5,0,0
135,33,10,2,2,0,2507,0,0,1,3,1,0,0,0,3,0
136,11,1,1,1,0,980,1,0,0,13,4,1,363,3,0,0
137,7,4,1,2,0,1019,0,0,0,9,1,8,0,0,3,0
138,23,9,2,1,0,326,1,1,0,10,6,0,0,0,3,0
139,42,5,1,2,0,6427,0,0,2,4,5,0,0,0,3,0
140,39,4,1,2,0,179,0,0,2,19,4,9,0,0,3,0
141,15,3,1,2,0,926,1,0,0,19,3,0,319,2,0,0
142,16,9,1,1,0,1126,1,1,0,11,4,1,170,1,0,0
143,16,1,2,2,0,1927,1,0,2,5,4,0,0,0,3,0
144,16,9,2,1,0,827,1,0,2,11,4,0,0,0,3,0
145,22,1,1,1,0,2713,1,0,0,11,4,0,0,0,3,1
146,31,7,2,1,0,5154,1,0,2,11,4,0,0,0,3,0
147,33,7,1,3,0,5735,0,0,1,18,10,1,0,0,3,0
148,13,9,1,1,0,956,1,0,0,19,10,1,0,0,3,0
149,19,3,1,0,0,916,0,1,1,14,6,3,0,0,3,0
150,29,0,0,1,0,1896,1,0,0,13,4,0,0,0,3,0
151,24,4,1,2,0,1179,1,0,2,6,4,0,0,0,3,0
152,28,4,1,3,0,1554,1,0,0,27,0,0,0,0,3,0
153,25,4,1,2,0,1144,1,0,0,25,4,0,110,1,0,0
154,28,1,1,0,0,2987,0,0,2,4,5,1,0,0,3,0
155,13,7,2,1,0,940,0,0,0,17,6,1,0,0,3,0
156,12,9,1,2,0,916,0,0,0,20,6,0,0,0,3,0
157,13,1,2,0,0,1901,1,0,2,11,4,1,0,0,3,0
158,57,5,1,0,0,5368,0,0,1,27,6,5,0,0,3,0
159,36,1,0,0,0,1131,1,0,0,17,4,6,345,5,0,0
160,15,0,1,1,0,946,1,0,1,4,4,1,0,0,3,0
161,39,1,1,0,0,2523,0,0,1,15,2,0,0,0,3,0
162,17,1,2,0,0,230,1,0,0,30,6,1,0,0,3,0
163,36,1,1,3,0,2732,0,0,0,19,3,0,347,1,0,0
164,14,9,1,1,0,1515,0,0,0,18,10,0,0,0,3,0
165,13,4,1,2,0,5537,1,0,2,22,4,0,0,0,3,0
166,14,4,2,2,0,1729,0,0,0,27,7,6,0,0,3,0
167,26,4,1,2,0,4623,1,1,1,20,10,0,0,0,3,1
168,28,7,1,0,0,1746,1,1,0,10,6,1,0,0,3,0
169,18,4,1,2,0,2041,1,1,2,15,4,4,0,0,3,0
170,27,1,1,0,0,5826,0,0,0,10,7,8,0,0,3,0
171,6,1,1,0,0,1849,1,0,2,27,4,2,0,0,3,0
172,20,1,1,1,0,1276,1,0,2,13,4,1,0,0,3,0
173,24,4,1,2,0,916,0,0,0,12,7,1,0,0,3,0
174,20,4,1,2,0,916,1,0,0,29,3,0,0,0,3,1
175,38,1,1,0,0,916,1,0,0,16,6,0,0,0,3,0
176,47,5,0,1,0,1660,0,0,0,4,6,0,0,0,3,0
177,12,1,2,0,0,1212,0,0,1,4,1,6,0,0,3,0
178,27,4,1,2,0,2216,0,0,0,29,6,2,0,0,3,0
179,10,4,2,2,0,2382,1,0,0,24,6,0,0,0,3,0
180,15,1,2,1,0,3516,1,0,0,17,6,0,0,0,3,0
181,31,4,1,1,0,1254,0,0,0,24,7,2,0,0,3,0
182,22,0,1,1,0,916,1,1,0,8,6,0,0,0,3,0
183,16,0,1,1,0,995,1,0,2,22,4,0,0,0,3,0
184,27,0,1,1,0,1053,1,0,2,13,4,0,0,0,3,0
185,15,4,2,2,0,322,1,0,2,14,4,0,0,0,3,0
186,19,10,1,1,0,1954,0,0,2,19,5,2,0,0,3,0
187,20,1,1,0,0,2410,1,0,2,1,5,2,0,0,3,0
188,20,9,2,2,0,2532,0,0,2,8,5,0,0,0,3,0
189,31,1,2,1,0,6359,1,0,0,12,3,1,331,1,0,0
190,28,1,1,1,0,2188,0,0,0,24,7,3,0,0,3,0
191,15,7,0,1,0,527,1,0,2,26,4,1,0,0,3,0
192,20,3,0,0,0,1275,0,0,2,8,5,3,0,0,3,0
193,7,4,2,2,0,1061,0,0,0,6,7,0,0,0,3,0
194,36,5,0,2,0,1265,1,0,0,17,10,0,0,0,3,0
195,15,9,1,2,0,6953,1,1,0,17,10,2,176,4,0,0
196,36,6,1,0,0,3026,0,1,0,19,10,0,0,0,3,0
197,35,10,1,1,0,1010,0,0,0,9,7,0,178,14,2,1
198,5,8,2,1,0,1945,1,0,0,17,4,0,0,0,3,0
199,13,10,1,1,0,973,1,1,2,22,4,4,0,0,3,0
200,24,1,1,0,0,1490,1,0,0,5,3,1,324,2,0,0
201,21,7,1,1,0,1123,0,0,2,5,5,1,0,0,3,0
202,23,4,1,2,0,936,1,0,0,16,10,0,148,2,0,0
203,27,1,1,3,0,1026,1,0,2,14,4,3,0,0,3,0
204,22,1,1,1,0,1255,1,0,2,13,4,1,0,0,3,0
205,27,4,2,2,0,916,0,0,0,26,4,0,0,0,3,0
206,17,1,2,0,0,965,1,0,2,20,4,1,0,0,3,0
207,31,4,2,1,0,916,0,0,0,28,7,1,0,0,3,0
208,7,9,2,1,0,3050,1,0,0,20,6,0,0,0,3,0
209,26,7,1,1,0,1562,1,0,2,2,5,3,0,0,3,0
210,18,0,2,2,0,1910,0,0,0,5,4,0,87,6,2,1
211,17,1,1,1,0,1451,1,0,2,29,4,2,0,0,3,0
212,12,4,2,1,0,1224,1,1,2,1,5,1,0,0,3,0
213,32,1,1,0,0,3102,1,0,2,14,4,0,0,0,3,0
214,41,1,1,0,0,1615,0,0,0,26,7,5,0,0,3,0
215,15,1,1,1,0,1286,1,0,0,7,3,0,0,0,3,0
216,12,2,1,0,0,1417,1,1,0,5,4,1,0,0,3,0
217,18,4,1,2,0,916,1,0,1,22,9,0,140,3,0,1
218,13,9,2,1,0,951,0,1,0,15,6,0,0,0,3,0
219,48,3,1,0,0,2146,0,0,0,16,11,2,0,0,3,1
220,16,4,0,1,0,1207,0,0,0,6,7,1,0,0,3,0
221,13,6,2,2,0,1833,0,1,0,16,10,2,0,0,3,0
222,17,1,2,0,0,647,1,0,2,8,5,9,0,0,3,0
223,27,4,1,2,0,599,1,0,2,22,4,0,0,0,3,0
224,34,7,0,1,0,2548,1,0,2,12,4,0,0,0,3,0
225,16,1,1,1,0,1412,1,0,0,12,4,0,0,0,3,1
226,8,9,1,1,0,1267,1,0,2,1,5,2,0,0,3,0
227,18,9,1,2,0,1099,1,0,2,15,4,0,0,0,3,0
228,12,9,2,1,0,1091,0,0,0,24,7,3,0,0,3,0
229,22,9,1,1,0,920,1,1,0,3,7,2,0,0,3,0
230,29,0,1,1,0,5807,0,0,1,20,10,2,0,0,3,0
231,9,9,2,1,0,4020,0,1,0,30,6,12,0,0,3,0
232,19,1,2,1,0,5153,0,1,0,24,6,3,0,0,3,1
233,19,4,1,2,0,1248,1,0,0,13,7,1,81,7,0,0
234,52,4,1,2,0,5398,0,0,0,5,1,0,0,0,3,0
235,42,3,1,0,0,2909,0,0,0,6,7,1,0,0,3,0
236,16,6,1,2,0,3300,0,0,1,10,7,2,67,3,0,0
237,13,9,1,1,0,1420,1,1,0,6,4,1,0,0,3,0
238,38,9,1,1,0,992,1,0,0,27,6,2,0,0,3,0
239,29,10,1,1,0,1039,0,0,0,3,7,1,0,0,3,0
240,41,5,1,2,0,4446,0,0,0,10,7,3,0,0,3,0
241,26,0,0,1,0,1365,1,1,2,27,4,3,0,0,3,0
242,35,2,1,3,0,3361,0,1,0,17,10,0,0,0,3,0
243,24,1,1,0,0,1476,1,1,0,17,10,1,0,0,3,0
244,7,1,2,0,0,922,1,1,2,26,4,1,0,0,3,0
245,19,7,0,1,0,1235,1,0,2,5,5,2,0,0,3,1
246,11,1,2,1,0,791,1,0,2,28,4,2,0,0,3,0
247,14,4,2,2,0,1040,0,0,0,3,1,1,0,0,3,0
248,41,9,1,3,0,916,0,0,0,4,1,0,0,0,3,0
249,13,9,2,1,0,2198,0,0,0,11,4,0,443,2,0,0
250,14,4,2,2,0,6642,0,0,2,22,4,0,0,0,3,0
251,24,0,2,2,0,1550,0,0,0,30,6,1,0,0,3,0
252,32,4,1,2,0,1427,1,0,0,4,7,0,0,0,3,0
253,65,5,0,0,0,4890,0,0,0,12,8,1,0,0,3,0
254,25,7,1,1,0,1690,0,0,0,23,5,0,88,2,2,1
255,30,1,1,1,0,4702,0,0,0,30,6,6,0,0,3,0
256,25,9,0,1,0,1093,1,0,2,7,4,2,0,0,3,0
257,40,1,1,0,0,1142,1,1,0,9,4,2,0,0,3,0
258,16,10,1,1,0,1894,0,0,0,23,2,0,0,0,3,1
259,18,6,2,2,0,1269,0,0,0,10,7,1,178,2,2,1
260,8,8,2,1,0,2125,1,0,0,6,4,3,0,0,3,0
261,35,1,1,0,0,1796,0,0,0,30,6,3,0,0,3,0
262,18,1,1,0,0,1787,1,1,1,17,10,0,0,0,3,0
263,14,1,1,1,0,930,1,0,2,1,5,0,0,0,3,0
264,21,1,1,0,0,1920,1,0,0,12,4,1,0,0,3,0
265,21,9,1,1,0,6778,1,1,0,21,7,3,0,0,3,0
266,38,1,1,0,0,916,0,0,0,6,7,5,0,0,3,0
267,13,9,2,1,0,925,0,0,0,6,6,1,0,0,3,0
268,36,1,1,1,0,1979,0,1,0,7,6,2,0,0,3,0
269,25,1,1,0,0,916,1,0,2,2,5,2,0,0,3,0
270,29,1,1,1,0,572,1,1,1,2,1,1,250,2,1,0
271,16,9,1,1,0,938,0,0,0,20,7,2,0,0,3,0
272,28,3,1,0,0,955,0,0,2,8,5,1,0,0,3,0
273,12,0,2,1,0,3425,0,0,0,3,8,0,97,4,1,1
274,11,4,2,2,0,3393,0,0,0,18,7,0,0,0,3,1
275,40,11,1,0,0,931,0,0,0,10,7,1,0,0,3,0
276,40,9,1,1,0,916,1,0,0,14,6,0,0,0,3,0
277,38,0,0,3,0,1705,1,0,0,7,4,0,357,2,0,0
278,16,4,2,1,0,1272,1,0,0,29,6,6,0,0,3,0
279,11,8,2,1,0,2758,0,0,1,3,4,2,0,0,3,0
280,14,7,1,1,0,1114,0,0,0,29,0,1,0,0,3,0
281,19,1,2,1,0,4390,0,0,2,15,5,0,0,0,3,0
282,35,6,1,0,0,3490,0,0,0,10,7,3,0,0,3,0
283,18,9,2,1,0,585,1,1,2,8,4,0,0,0,3,0
284,10,9,2,2,0,1884,0,1,0,21,6,1,0,0,3,0
285,41,1,1,0,0,979,0,0,0,21,7,5,0,0,3,0
286,24,7,1,1,0,873,1,1,2,26,4,2,0,0,3,0
287,16,4,1,2,0,3171,1,0,2,25,4,3,0,0,3,1
288,11,9,2,1,0,1416,1,0,0,13,4,2,0,0,3,0
289,27,3,1,1,0,1429,0,0,2,8,5,2,0,0,3,0
290,15,9,2,1,0,1403,1,0,0,25,7,13,0,0,3,0
291,24,11,2,3,1,977,0,0,2,19,5,0,0,0,3,0
292,29,1,1,1,0,1606,1,0,0,8,6,0,0,0,3,0
293,23,1,1,0,0,1107,1,0,2,7,4,0,0,0,3,0
294,25,1,1,0,0,924,0,1,0,20,6,1,0,0,3,0
295,15,4,1,2,0,987,0,0,0,15,10,0,284,1,0,0
296,13,0,0,2,0,914,1,0,0,18,10,0,0,0,3,0
297,11,4,1,2,1,969,1,0,0,30,6,16,0,0,3,0
298,21,2,1,1,0,1199,1,0,2,25,4,1,0,0,3,0
299,35,10,1,0,0,1058,0,0,0,29,3,1,0,0,3,0
300,16,7,2,2,0,1287,0,0,2,19,4,0,0,0,3,0
301,25,4,1,2,0,5552,0,0,0,5,7,1,0,0,3,0
302,26,6,0,1,0,996,1,1,2,13,4,1,0,0,3,0
303,28,7,1,1,0,3294,0,0,0,18,10,1,0,0,3,0
304,26,1,2,0,0,6612,0,0,2,19,5,17,0,0,3,0
305,42,9,2,1,0,928,0,0,0,23,6,0,0,0,3,0
306,13,7,1,1,0,1571,0,1,0,8,1,5,0,0,3,0
307,39,4,0,2,0,968,1,0,0,7,4,2,356,8,1,0
308,8,6,2,2,0,1374,1,1,0,1,1,6,0,0,3,0
309,27,1,1,0,0,3306,0,0,0,5,7,1,0,0,3,0
310,21,4,2,2,0,1322,1,0,2,6,4,0,0,0,3,0
311,18,1,0,0,0,1018,0,0,0,2,1,1,0,0,3,0
312,5,8,2,1,0,6395,0,0,0,4,5,1,0,0,3,0
313,28,9,1,1,0,916,0,0,1,19,3,1,0,0,3,0
314,38,7,1,1,0,1060,0,0,0,5,7,1,0,0,3,0
315,37,5,1,1,0,1907,0,0,0,10,6,1,0,0,3,0
316,13,4,2,2,0,1279,0,0,0,12,7,1,0,0,3,0
317,15,1,1,1,0,2156,1,0,2,4,5,1,0,0,3,0
318,23,1,1,0,0,1400,1,0,0,6,6,2,0,0,3,0
319,11,7,2,1,0,2838,0,0,0,28,8,0,0,0,3,1
320,16,4,2,2,0,1041,1,1,2,4,5,30,0,0,3,0
321,19,10,1,1,0,1375,0,0,0,19,10,3,0,0,3,0
322,19,7,1,1,0,2244,1,0,1,12,4,1,338,4,0,0
323,29,9,1,1,0,841,1,0,0,3,1,0,244,1,1,0
324,17,11,1,3,0,916,0,0,2,5,5,2,0,0,3,0
325,14,9,1,1,0,1360,0,0,0,28,7,1,0,0,3,0
326,10,1,1,0,0,1019,1,0,2,19,5,27,0,0,3,0
327,8,9,2,1,0,960,0,0,0,29,9,0,0,0,3,1
328,20,4,1,2,0,3785,0,1,2,19,5,1,0,0,3,0
329,24,4,0,2,0,2032,1,0,2,18,4,5,0,0,3,0
330,10,9,2,2,0,1781,0,0,0,15,8,0,0,0,3,0
331,24,1,2,0,0,544,1,0,0,17,4,0,0,0,3,0
332,16,4,0,2,0,1073,1,0,0,11,7,1,0,0,3,0
333,16,7,1,1,0,864,0,0,2,12,7,0,0,0,3,0
334,42,1,1,1,0,956,0,0,2,4,5,1,0,0,3,0
335,30,4,0,2,0,5574,0,0,0,27,0,0,0,0,3,0
336,9,8,2,1,0,1195,0,0,0,11,9,0,0,0,3,1
337,15,9,1,1,0,1078,1,1,0,13,6,1,0,0,3,0
338,4,7,1,1,0,930,1,1,2,19,4,0,0,0,3,0
339,24,9,1,1,0,916,0,1,2,7,4,2,0,0,3,0
340,18,4,1,2,0,1106,1,0,0,4,1,0,0,0,3,0
341,21,7,1,1,0,3257,1,1,0,28,6,2,0,0,3,0
342,11,8,2,1,0,2293,1,0,0,2,7,0,433,2,2,1
343,31,1,1,0,0,916,1,0,2,13,4,1,0,0,3,0
344,8,1,1,1,0,1161,1,0,2,27,4,1,0,0,3,0
345,27,6,1,1,0,923,0,0,0,19,10,0,0,0,3,1
346,13,1,1,0,0,1492,1,1,2,2,5,2,0,0,3,0
347,16,0,2,1,0,917,1,0,0,8,1,6,277,1,1,0
348,36,7,1,1,0,916,0,0,2,18,5,0,0,0,3,0
349,16,4,2,2,0,992,1,0,0,12,4,1,368,3,0,1
350,26,2,1,1,0,2358,0,0,0,17,10,1,0,0,3,0
351,21,9,0,1,0,1301,0,0,0,12,9,0,45,2,0,1
352,21,1,2,1,0,1435,1,1,0,19,10,0,152,14,0,0
353,13,6,2,2,0,4083,0,0,0,2,8,0,91,1,2,1
354,17,9,2,2,0,920,1,0,0,23,6,0,0,0,3,0
355,38,5,1,0,0,6425,0,0,0,12,7,1,98,2,2,1
356,19,1,1,0,0,916,1,0,2,18,5,2,0,0,3,0
357,23,1,1,1,0,1479,1,0,0,19,3,11,345,1,0,0
358,32,0,1,1,0,1158,1,0,0,19,7,3,0,0,3,0
359,9,0,1,1,0,1869,1,0,2,25,4,1,0,0,3,0
360,15,9,2,2,0,1234,1,0,0,13,3,0,0,0,3,0
361,18,1,1,0,0,1203,1,0,2,29,4,2,0,0,3,0
362,31,0,1,1,0,2319,0,0,0,2,1,1,177,2,0,0
363,21,4,2,2,0,2008,0,0,0,25,7,6,0,0,3,0
364,18,0,1,2,0,1073,1,0,0,16,3,1,0,0,3,0
365,39,5,1,2,0,4254,0,0,2,12,4,1,0,0,3,0
366,23,1,2,1,0,1841,1,0,1,12,4,0,0,0,3,0
367,18,9,1,2,0,1827,1,1,0,24,4,1,19,3,0,1
368,16,1,1,1,0,1039,1,0,0,7,6,2,0,0,3,0
369,38,0,1,1,0,936,0,0,2,2,6,0,0,0,3,0
370,17,1,1,1,0,1590,1,0,2,29,4,1,0,0,3,0
371,14,7,2,1,0,1001,1,0,2,8,4,8,0,0,3,0
372,1,8,2,1,0,1004,0,0,0,7,8,0,0,0,3,0
373,41,5,0,1,0,1830,0,0,0,27,0,0,0,0,3,0
374,16,9,0,1,0,916,1,1,0,19,3,2,266,2,1,0
375,26,1,1,1,0,4691,1,0,0,3,4,2,0,0,3,0
376,26,2,1,2,0,4179,1,1,0,27,7,2,0,0,3,0
377,14,3,1,0,0,916,0,0,1,7,6,2,0,0,3,0
378,20,1,1,1,0,764,0,0,2,19,4,0,0,0,3,0
379,28,0,0,1,0,1791,1,1,0,10,4,2,350,2,0,0
380,18,3,2,0,0,1123,0,0,2,19,5,4,0,0,3,0
381,14,7,2,1,0,1226,1,0,2,5,4,0,0,0,3,0
382,21,9,0,1,0,1604,1,1,0,18,10,0,0,0,3,0
383,21,4,0,2,0,1183,1,1,0,15,3,0,0,0,3,0
384,18,7,1,1,0,2656,1,0,0,6,3,0,313,1,0,0
385,10,7,2,0,0,1218,0,0,2,2,5,8,0,0,3,0
386,11,1,1,1,0,925,1,0,0,24,6,7,0,0,3,0
387,42,4,1,1,0,965,0,1,0,7,6,1,0,0,3,0
388,40,9,1,1,0,1032,0,0,2,15,5,2,0,0,3,0
389,35,1,0,0,0,4682,0,0,2,8,5,0,0,0,3,0
390,30,4,1,2,0,5975,1,0,0,1,1,2,0,0,3,0
391,8,9,1,2,0,1149,1,0,0,24,6,0,0,0,3,0
392,16,0,1,2,0,916,0,0,0,29,6,0,180,2,2,1
393,25,11,1,0,0,916,1,0,0,8,6,0,0,0,3,0
394,13,7,2,1,0,711,0,0,0,0,8,0,504,1,0,1
395,32,2,1,1,0,1449,1,0,0,10,4,1,0,0,3,0
396,36,1,0,1,0,1070,1,0,2,29,4,11,0,0,3,0
397,13,0,2,2,0,1592,1,0,0,21,3,1,340,2,1,1
398,8,7,1,1,0,1115,0,0,0,23,6,5,0,0,3,0
399,43,6,1,2,0,6597,0,0,0,25,6,1,256,3,2,1
